round, size, pvdup, meanpv, rpsneigh, sonneig, completeness, messages
1, 200, 0, 2.05, 0, 0, 0, 0
2, 200, 0, 2.05, 0, 0, 0, 0
3, 200, 0, 3.975, 3, 5, 0, 689
4, 200, 0, 4.745, 5, 5, 0, 953
5, 200, 0, 4.92, 5, 5, 0, 1002
6, 200, 0, 4.97, 5, 5, 1, 1003
7, 200, 0, 4.995, 5, 5, 2, 980
8, 200, 0, 5.0, 5, 5, 3, 1000
9, 200, 0, 5.0, 5, 5, 6, 1000
10, 200, 0, 5.0, 5, 5, 9, 1000
11, 200, 0, 5.0, 5, 5, 12, 1000
12, 200, 0, 5.0, 5, 5, 14, 1000
13, 200, 0, 5.0, 5, 5, 18, 1010
14, 200, 0, 5.0, 5, 5, 22, 990
15, 200, 0, 5.0, 5, 5, 28, 1000
16, 200, 0, 5.0, 5, 5, 40, 1010
17, 200, 0, 5.0, 5, 5, 48, 1000
18, 200, 0, 5.0, 5, 5, 52, 990
19, 200, 0, 5.0, 5, 5, 59, 1000
20, 200, 0, 5.0, 5, 5, 64, 1000
21, 200, 0, 5.0, 5, 5, 68, 1000
22, 200, 0, 5.0, 5, 5, 73, 1000
23, 200, 0, 5.0, 5, 5, 76, 1000
24, 200, 0, 5.0, 5, 5, 81, 1000
25, 200, 0, 5.0, 5, 5, 81, 1010
26, 200, 0, 5.0, 5, 5, 83, 990
27, 200, 0, 5.0, 5, 5, 86, 1000
28, 200, 0, 5.0, 5, 5, 86, 1000
29, 200, 0, 5.0, 5, 5, 87, 1000
30, 200, 0, 5.0, 5, 5, 89, 1010
31, 200, 0, 5.0, 5, 5, 91, 1000
32, 200, 0, 5.0, 5, 5, 93, 990
33, 200, 0, 5.0, 5, 5, 95, 1000
34, 200, 0, 5.0, 5, 5, 97, 1000
35, 200, 0, 5.0, 5, 5, 97, 1000
36, 200, 0, 5.0, 5, 5, 97, 1010
37, 200, 0, 5.0, 5, 5, 96, 990
38, 200, 0, 5.0, 5, 5, 97, 1000
39, 200, 0, 5.0, 5, 5, 97, 1010
40, 200, 0, 5.0, 5, 5, 96, 1000
41, 200, 0, 5.0, 5, 5, 96, 990
42, 200, 0, 5.0, 5, 5, 97, 1000
43, 200, 0, 5.0, 5, 5, 97, 1000
44, 200, 0, 5.0, 5, 5, 98, 1000
45, 200, 0, 5.0, 5, 5, 98, 1000
46, 200, 0, 5.0, 5, 5, 98, 1000
47, 200, 0, 5.0, 5, 5, 98, 1000
48, 200, 0, 5.0, 5, 5, 98, 1000
49, 200, 0, 5.0, 5, 5, 98, 1010
50, 200, 0, 5.0, 5, 5, 97, 990
51, 200, 0, 5.0, 5, 5, 98, 1000
52, 200, 0, 5.0, 5, 5, 98, 1000
53, 200, 0, 5.0, 5, 5, 98, 1000
54, 200, 0, 5.0, 5, 5, 98, 1000
55, 200, 0, 5.0, 5, 5, 98, 1000
56, 200, 0, 5.0, 5, 5, 98, 1000
57, 200, 0, 5.0, 5, 5, 98, 1020
58, 200, 0, 5.0, 5, 5, 96, 980
59, 200, 0, 5.0, 5, 5, 98, 1000
60, 200, 0, 5.0, 5, 5, 98, 1000
61, 200, 0, 5.0, 5, 5, 98, 1010
62, 200, 0, 5.0, 5, 5, 97, 990
63, 200, 0, 5.0, 5, 5, 98, 1010
64, 200, 0, 5.0, 5, 5, 97, 990
65, 200, 0, 5.0, 5, 5, 98, 1000
66, 200, 0, 5.0, 5, 5, 98, 1000
67, 200, 0, 5.0, 5, 5, 98, 1010
68, 200, 0, 5.0, 5, 5, 97, 990
69, 200, 0, 5.0, 5, 5, 98, 1000
70, 200, 0, 5.0, 5, 5, 98, 1000
71, 200, 0, 5.0, 5, 5, 98, 1000
72, 200, 0, 5.0, 5, 5, 98, 1000
73, 200, 0, 5.0, 5, 5, 98, 1000
74, 200, 0, 5.0, 5, 5, 98, 1000
75, 200, 0, 5.0, 5, 5, 98, 1010
76, 200, 0, 5.0, 5, 5, 97, 1000
77, 200, 0, 5.0, 5, 5, 97, 990
78, 200, 0, 5.0, 5, 5, 98, 1000
79, 200, 0, 5.0, 5, 5, 98, 1000
80, 200, 0, 5.0, 5, 5, 98, 1000
81, 200, 0, 5.0, 5, 5, 98, 1000
82, 200, 0, 5.0, 5, 5, 98, 1000
83, 200, 0, 5.0, 5, 5, 98, 1000
84, 200, 0, 5.0, 5, 5, 98, 1000
85, 200, 0, 5.0, 5, 5, 98, 1010
86, 200, 0, 5.0, 5, 5, 97, 1000
87, 200, 0, 5.0, 5, 5, 97, 990
88, 200, 0, 5.0, 5, 5, 98, 1000
89, 200, 0, 5.0, 5, 5, 98, 1000
90, 200, 0, 5.0, 5, 5, 98, 1000
91, 200, 0, 5.0, 5, 5, 98, 1000
92, 200, 0, 5.0, 5, 5, 98, 1000
93, 200, 0, 5.0, 5, 5, 98, 1000
94, 200, 0, 5.0, 5, 5, 98, 1010
95, 200, 0, 5.0, 5, 5, 97, 990
96, 200, 0, 5.0, 5, 5, 98, 1010
97, 200, 0, 5.0, 5, 5, 97, 990
98, 200, 0, 5.0, 5, 5, 98, 1000
99, 200, 0, 5.0, 5, 5, 98, 1000
100, 200, 0, 5.0, 5, 5, 98, 1010
101, 200, 0, 5.0, 5, 5, 97, 990
102, 200, 0, 5.0, 5, 5, 98, 1000
103, 200, 0, 5.0, 5, 5, 98, 1000
104, 200, 0, 5.0, 5, 5, 98, 1000
105, 200, 0, 5.0, 5, 5, 98, 1000
106, 200, 0, 5.0, 5, 5, 98, 1000
107, 200, 0, 5.0, 5, 5, 98, 1010
108, 200, 0, 5.0, 5, 5, 97, 990
109, 200, 0, 5.0, 5, 5, 98, 1000
110, 200, 0, 5.0, 5, 5, 98, 1020
111, 200, 0, 5.0, 5, 5, 96, 980
112, 200, 0, 5.0, 5, 5, 98, 1000
113, 200, 0, 5.0, 5, 5, 98, 1000
114, 200, 0, 5.0, 5, 5, 98, 1010
115, 200, 0, 5.0, 5, 5, 97, 990
116, 200, 0, 5.0, 5, 5, 98, 1010
117, 200, 0, 5.0, 5, 5, 97, 990
118, 200, 0, 5.0, 5, 5, 98, 1000
119, 200, 0, 5.0, 5, 5, 98, 1000
120, 200, 0, 5.0, 5, 5, 98, 1000
121, 200, 0, 5.0, 5, 5, 98, 1000
122, 200, 0, 5.0, 5, 5, 98, 1000
123, 200, 0, 5.0, 5, 5, 98, 1000
124, 200, 0, 5.0, 5, 5, 98, 1000
125, 200, 0, 5.0, 5, 5, 98, 1000
