round, size, pvdup, meanpv, rpsneigh, sonneig, completeness, messages
1, 200, 0, 2.05, 0, 0, 0, 0
2, 200, 0, 2.05, 0, 0, 0, 0
3, 200, 0, 3.975, 3, 5, 0, 1513
4, 200, 0, 4.745, 5, 5, 0, 1914
5, 200, 0, 4.92, 5, 5, 0, 1981
6, 200, 0, 4.97, 5, 5, 1, 1988
7, 200, 0, 4.995, 5, 5, 3, 1999
8, 200, 0, 5.0, 5, 5, 5, 2000
9, 200, 0, 5.0, 5, 5, 16, 2000
10, 200, 0, 5.0, 5, 5, 26, 2000
11, 200, 0, 5.0, 5, 5, 39, 2000
12, 200, 0, 5.0, 5, 5, 51, 2000
13, 200, 0, 5.0, 5, 5, 58, 2000
14, 200, 0, 5.0, 5, 5, 68, 2000
15, 200, 0, 5.0, 5, 5, 73, 2000
16, 200, 0, 5.0, 5, 5, 78, 2000
17, 200, 0, 5.0, 5, 5, 83, 2000
18, 200, 0, 5.0, 5, 5, 86, 2000
19, 200, 0, 5.0, 5, 5, 90, 2000
20, 200, 0, 5.0, 5, 5, 91, 2000
21, 200, 0, 5.0, 5, 5, 94, 2000
22, 200, 0, 5.0, 5, 5, 94, 2000
23, 200, 0, 5.0, 5, 5, 95, 2000
24, 200, 0, 5.0, 5, 5, 96, 2000
25, 200, 0, 5.0, 5, 5, 98, 2000
26, 200, 0, 5.0, 5, 5, 97, 2000
27, 200, 0, 5.0, 5, 5, 98, 2000
28, 200, 0, 5.0, 5, 5, 98, 2000
29, 200, 0, 5.0, 5, 5, 98, 2000
30, 200, 0, 5.0, 5, 5, 98, 2000
31, 200, 0, 5.0, 5, 5, 98, 2000
32, 200, 0, 5.0, 5, 5, 98, 2000
33, 200, 0, 5.0, 5, 5, 99, 2000
34, 200, 0, 5.0, 5, 5, 99, 2000
35, 200, 0, 5.0, 5, 5, 99, 2000
36, 200, 0, 5.0, 5, 5, 99, 2000
37, 200, 0, 5.0, 5, 5, 98, 2000
38, 200, 0, 5.0, 5, 5, 99, 2000
39, 200, 0, 5.0, 5, 5, 99, 2000
40, 200, 0, 5.0, 5, 5, 99, 2000
41, 200, 0, 5.0, 5, 5, 99, 2000
42, 200, 0, 5.0, 5, 5, 99, 2000
43, 200, 0, 5.0, 5, 5, 99, 2000
44, 200, 0, 5.0, 5, 5, 99, 2000
45, 200, 0, 5.0, 5, 5, 99, 2000
46, 200, 0, 5.0, 5, 5, 98, 2000
47, 200, 0, 5.0, 5, 5, 99, 2000
48, 200, 0, 5.0, 5, 5, 99, 2000
49, 200, 0, 5.0, 5, 5, 99, 2000
50, 200, 0, 5.0, 5, 5, 99, 2000
51, 200, 0, 5.0, 5, 5, 100, 2000
52, 200, 0, 5.0, 5, 5, 100, 2000
53, 200, 0, 5.0, 5, 5, 100, 2000
54, 200, 0, 5.0, 5, 5, 99, 2000
55, 200, 0, 5.0, 5, 5, 100, 2000
56, 200, 0, 5.0, 5, 5, 100, 2000
57, 200, 0, 5.0, 5, 5, 100, 2000
58, 200, 0, 5.0, 5, 5, 99, 2000
59, 200, 0, 5.0, 5, 5, 100, 2000
60, 200, 0, 5.0, 5, 5, 100, 2000
61, 200, 0, 5.0, 5, 5, 100, 2000
62, 200, 0, 5.0, 5, 5, 99, 2000
63, 200, 0, 5.0, 5, 5, 100, 2000
64, 200, 0, 5.0, 5, 5, 99, 2000
65, 200, 0, 5.0, 5, 5, 99, 2000
66, 200, 0, 5.0, 5, 5, 100, 2000
67, 200, 0, 5.0, 5, 5, 100, 2000
68, 200, 0, 5.0, 5, 5, 99, 2000
69, 200, 0, 5.0, 5, 5, 100, 2000
70, 200, 0, 5.0, 5, 5, 100, 2000
71, 200, 0, 5.0, 5, 5, 100, 2000
72, 200, 0, 5.0, 5, 5, 100, 2000
73, 200, 0, 5.0, 5, 5, 100, 2000
74, 200, 0, 5.0, 5, 5, 100, 2000
75, 200, 0, 5.0, 5, 5, 100, 2000
76, 200, 0, 5.0, 5, 5, 99, 2000
77, 200, 0, 5.0, 5, 5, 99, 2000
78, 200, 0, 5.0, 5, 5, 100, 2000
79, 200, 0, 5.0, 5, 5, 100, 2000
80, 200, 0, 5.0, 5, 5, 100, 2000
81, 200, 0, 5.0, 5, 5, 99, 2000
82, 200, 0, 5.0, 5, 5, 100, 2000
83, 200, 0, 5.0, 5, 5, 100, 2000
84, 200, 0, 5.0, 5, 5, 100, 2000
85, 200, 0, 5.0, 5, 5, 100, 2000
86, 200, 0, 5.0, 5, 5, 99, 2000
87, 200, 0, 5.0, 5, 5, 99, 2000
88, 200, 0, 5.0, 5, 5, 100, 2000
89, 200, 0, 5.0, 5, 5, 100, 2000
90, 200, 0, 5.0, 5, 5, 100, 2000
91, 200, 0, 5.0, 5, 5, 100, 2000
92, 200, 0, 5.0, 5, 5, 100, 2000
93, 200, 0, 5.0, 5, 5, 100, 2000
94, 200, 0, 5.0, 5, 5, 100, 2000
95, 200, 0, 5.0, 5, 5, 99, 2000
96, 200, 0, 5.0, 5, 5, 100, 2000
97, 200, 0, 5.0, 5, 5, 99, 2000
98, 200, 0, 5.0, 5, 5, 100, 2000
99, 200, 0, 5.0, 5, 5, 100, 2000
100, 200, 0, 5.0, 5, 5, 100, 2000
101, 200, 0, 5.0, 5, 5, 99, 2000
102, 200, 0, 5.0, 5, 5, 100, 2000
103, 200, 0, 5.0, 5, 5, 100, 2000
104, 200, 0, 5.0, 5, 5, 99, 2000
105, 200, 0, 5.0, 5, 5, 100, 2000
106, 200, 0, 5.0, 5, 5, 100, 2000
107, 200, 0, 5.0, 5, 5, 100, 2000
108, 200, 0, 5.0, 5, 5, 99, 2000
109, 200, 0, 5.0, 5, 5, 100, 2000
110, 200, 0, 5.0, 5, 5, 100, 2000
111, 200, 0, 5.0, 5, 5, 98, 2000
112, 200, 0, 5.0, 5, 5, 100, 2000
113, 200, 0, 5.0, 5, 5, 100, 2000
114, 200, 0, 5.0, 5, 5, 99, 2000
115, 200, 0, 5.0, 5, 5, 99, 2000
116, 200, 0, 5.0, 5, 5, 99, 2000
117, 200, 0, 5.0, 5, 5, 99, 2000
118, 200, 0, 5.0, 5, 5, 100, 2000
119, 200, 0, 5.0, 5, 5, 100, 2000
120, 200, 0, 5.0, 5, 5, 100, 2000
121, 200, 0, 5.0, 5, 5, 100, 2000
122, 200, 0, 5.0, 5, 5, 100, 2000
123, 200, 0, 5.0, 5, 5, 100, 2000
124, 200, 0, 5.0, 5, 5, 100, 2000
